27 May 20,Jaffino,Large molecule interference
3 Jun 20,Himanshu,Fock States of Flavor Neutrinos are Unphysical
10 Jun 20,Dipayan,(Novel) Einstein-Gauss-Bonnet theory in four dimensions
1 Jul 20,Harkirat,Super-Penrose process for extremal charged white holes
8 Jul 20,Jaffino,Density matrix formalism for PT-symmetric non-Hermitian Hamiltonians
15 Jul 20,Himanshu,Violation of the Leggett-Garg Inequality in Neutrino Oscillations
29 Jul 20,Dipayan,From Galileons to Horndeski theories
5 Aug 20,Harkirat,Problem and Emergence of Time in Quantum realization of models that exhibit time reparametrization invariance.
19 Aug 20,Harkirat,Problem and Emergence of Time in Quantum realization of models that exhibit time reparametrization invariance (continued).
