16/01/20;"Himanshu Swami";"Decay of accelerated particles"
24/01/20;"Harkirat Singh Sahota";"Schröndinger like quantization of scalar field and two point correlation"
30/01/20;"Dipayan Mukherjee";"Generalised Bianchi identity and corresponding conserved quantities"
06/02/20;"Ankit Dhanuka";"Vacuum states in de Sitter space"
14/02/20;"Harkirat Singh Sahota";"Singularity avoidance for collapsing quantum dust in the
Lemaitre-Tolman-Bondi model"
21/02/20;"Akash Singh";"On the Quantum Correction For Thermodynamic Equilibrium (Wigner function) by
E. Wigner"
27/02/20;"Ankit Dhanuka";"Conformal Killing Vectors and conformal algebra"
05/03/20;"Ankit Dhanuka";"Conformal Killing Vectors and conformal algebra"
