19/09/19;"Vikramaditya Mondal";"Relativistic Boltzmann Equation"
25/09/19;"Vikramaditya Mondal";"Relativistic Boltzmann Equation"
02/10/19;"Dipayan Mukherjee";"Geodesic deviation equation in f(R) gravity"
11/10/19;"Ankit Dhanuka";"Poincaré algebra and the Coleman-Mandula theorem"
16/10/19;"Harkirat Singh Sahota";"SL(2,R) structure in Classical & Quantum Cosmology"
31/10/19;"Himanshu Swami";"Geometrical contribution to neutrino mass matrix"
